Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-09-18,2235.483154296875,2281.563363200101,2223.164682609874,2267.5112697923923,4183256
2020-09-21,2249.5361328125,2285.6701934027415,2237.536891713048,2249.262344361964,4598809
2020-09-22,2302.14013671875,2331.385149588209,2242.874637059811,2267.511583846066,7499613
2020-09-23,2251.498046875,2299.312118001145,2198.163651646066,2290.324103624585,7502280
2020-09-24,2128.130615234375,2235.5750915743247,2101.0756833375185,2235.5750915743247,8424708
2020-09-25,2210.2998046875,2226.450652158729,2146.243769003839,2160.752108324537,8228267
2020-09-28,2213.94970703125,2230.1005543802275,2158.9271324319225,2226.4506353059555,4347166
2020-09-29,2270.614013671875,2291.281809057457,2213.9491675164236,2221.750912191158,6995811
2020-09-30,2274.173095703125,2285.761542802583,2244.699958201339,2271.161868277696,3917166
2020-10-01,2302.5966796875,2317.698262131253,2274.1730282986546,2290.3238732084433,2610337
2020-10-05,2468.987548828125,2489.3358901324814,2375.2302622348448,2390.6967481692836,17412105
2020-10-06,2476.743408203125,2496.5441708514827,2418.1622627838656,2496.5441708514827,9846367
2020-10-07,2496.49853515625,2527.5685103160667,2466.432376673043,2502.0190813309227,9656101
2020-10-08,2578.393310546875,2632.503390122072,2554.9426316609365,2554.9426316609365,19839329
2020-10-09,2566.759765625,2582.1808064477104,2536.693603618796,2564.067995024754,7739245
2020-10-12,2582.3173828125,2604.216894186175,2555.6273533258336,2569.086428024238,4623203
2020-10-13,2579.169189453125,2605.037851762262,2566.075018431463,2596.0043930714523,4209878
2020-10-14,2574.633056640625,2604.3233530197194,2554.4270548467084,2604.3233530197194,4395936
2020-10-15,2511.40380859375,2591.2653676923733,2498.941086622616,2575.91616959889,6629355
2020-10-16,2532.205322265625,2539.8568777025275,2502.8814816110917,2520.10928274026,5273773
2020-10-19,2484.783447265625,2542.010716598708,2480.247459909624,2542.010716598708,3331194
2020-10-20,2509.9375,2529.089544044876,2490.6478662173995,2497.108319642205,3406273
2020-10-21,2451.656494140625,2519.1014234875443,2440.339457556022,2509.937722419929,4570143
2020-10-22,2447.761962890625,2461.9656997874254,2417.4761093246966,2438.4608956377965,5262294
2020-10-23,2462.102783203125,2476.031561454096,2446.7994500512727,2463.019153137046,3499091
2020-10-26,2463.385986328125,2483.317035422624,2447.1662807751654,2464.989633956418,2672752
2020-10-27,2410.190185546875,2490.8307361630677,2404.646326670507,2473.9696196143836,3537502
2020-10-28,2402.9052734375,2433.8327597042407,2388.060124774092,2428.3804031662867,3569445
2020-10-29,2412.481201171875,2432.96215854948,2382.790904997471,2389.8927719386234,3105968
2020-10-30,2441.98876953125,2450.6942848362014,2402.3557656429202,2415.643131108372,3427003
2020-11-02,2386.77783203125,2441.989134721933,2382.6083030170257,2437.54464991233,2571196
2020-11-03,2413.352294921875,2442.1262255004203,2383.524404533701,2386.2276514833375,2879269
2020-11-04,2431.266845703125,2494.221640307478,2391.7255718116603,2391.7255718116603,4893928
2020-11-05,2461.0947265625,2483.362561061292,2443.9586532658545,2460.4533123430147,2816502
2020-11-06,2481.0263671875,2486.341358907781,2457.063376777967,2473.2830840107254,3884421
2020-11-09,2498.574951171875,2514.519702360838,2469.709291323345,2502.698616864522,3646592
2020-11-10,2428.014404296875,2486.249547520183,2417.705240256422,2471.6334885807983,4760020
2020-11-11,2463.01953125,2467.6013816229915,2422.332565703937,2444.829495779958,3242441
2020-11-12,2447.670166015625,2486.1118432856783,2439.147880156894,2461.3698529544163,2437505
2020-11-13,2434.657470703125,2442.0340694571955,2415.5510687015744,2433.649374318743,2548093
2020-11-14,2447.029052734375,2464.1192660760153,2437.5903957024275,2453.9933314503314,298819
2020-11-17,2443.088623046875,2469.6174934920714,2428.42670100759,2469.6174934920714,2827273
2020-11-18,2406.983154296875,2441.3928923025655,2389.022436655479,2438.4605530675567,2893762
2020-11-19,2416.375732421875,2452.3432514821397,2410.831873430575,2416.4674589023607,4167501
2020-11-20,2437.77294921875,2452.2057746863547,2407.8076991830126,2432.962007396215,2711471
2020-11-23,2496.4208984375,2501.6900257811785,2442.125977548293,2465.0352268686333,3706418
2020-11-24,2494.4052734375,2513.60318227238,2478.7811185004693,2505.7223099294697,3120516
2020-11-25,2475.39013671875,2504.393155514762,2463.385601146183,2500.7735390357925,3302249
2020-11-26,2493.076171875,2502.5604666099853,2455.8714624692357,2461.369682161331,2341099
2020-11-27,2455.55078125,2490.4187044980263,2445.83739348294,2478.780850241521,6086808
2020-12-01,2498.7578125,2507.096645438831,2404.967251568111,2454.9552808481135,3605017
2020-12-02,2519.60498046875,2524.3241961090584,2476.443867367415,2491.6098344215943,2509032
2020-12-03,2482.858154296875,2541.918144219152,2474.931644874266,2541.918144219152,2852548
2020-12-04,2499.445556640625,2509.800584532932,2473.2831429697967,2484.0963559571333,2686527
2020-12-07,2508.746337890625,2514.5195141729,2479.8348169535157,2487.9447816980405,1996400
2020-12-08,2563.361572265625,2570.921623959061,2503.9348946164596,2510.853532122955,4277818
2020-12-09,2575.732666015625,2602.4906234558266,2559.558602378932,2579.5813750099123,3659996
2020-12-10,2551.44921875,2590.853131576287,2547.737875239171,2582.3308452203883,2127801
2020-12-11,2550.807861328125,2572.892246170715,2533.3509664421176,2559.1466948782945,1795408
2020-12-14,2563.728515625,2569.5016918456054,2525.745020738035,2567.668951694503,2483658
2020-12-15,2530.60205078125,2560.9796319842017,2524.5997815106984,2553.007256366173,2365509
2020-12-16,2578.8486328125,2583.980394746624,2529.5937410426554,2546.592450760881,2565149
2020-12-17,2600.841552734375,2615.0452891732884,2570.418110396948,2575.916330953947,2863460
2020-12-18,2621.7353515625,2655.6410516700894,2608.173026774822,2628.1499434747466,6076692
2020-12-21,2584.30126953125,2645.1025203669114,2552.090947244708,2621.7350808140427,2705195
2020-12-22,2632.27294921875,2642.4903857116597,2582.9263329007917,2596.992702553851,2881737
2020-12-23,2665.490966796875,2674.8837583429577,2625.8121050819695,2635.5257155847285,2790988
2020-12-24,2666.041259765625,2677.037700222537,2642.0780490360457,2665.720440763037,1807144
2020-12-28,2684.414794921875,2703.0171548687895,2659.306340739116,2666.637302395185,2108994
2020-12-29,2685.42236328125,2705.124318855571,2675.8004780007677,2675.8004780007677,1994151
2020-12-30,2665.99560546875,2701.184128199536,2659.3060589218653,2688.9963609932684,2637968
2020-12-31,2623.33837890625,2662.0550137883697,2607.0728104054774,2657.4731635064622,4040956
2021-01-01,2683.360595703125,2694.127943777747,2638.2293707946033,2639.145740843507,2681440
2021-01-04,2785.2607421875,2795.6157678965574,2694.998297497568,2703.291490713708,5113293
2021-01-05,2834.332763671875,2853.8056286017254,2785.3986890550727,2785.3986890550727,5801309
2021-01-06,2796.302978515625,2853.117916961625,2783.19884312942,2840.7469222999957,3726716
2021-01-07,2779.1669921875,2823.1986156134235,2749.3391038200584,2817.8377616020935,3717827
2021-01-08,2859.89892578125,2866.405242002671,2804.0920845678306,2831.5831834361425,5879039
2021-01-11,2910.803466796875,2959.875125463665,2883.4040930504175,2959.875125463665,9508039
2021-01-12,2909.33740234375,2941.5477185577015,2886.5655182108285,2910.8034601191125,3611458
2021-01-13,2894.76708984375,2911.3076137916987,2864.8018343142267,2909.474873713769,3572801
2021-01-14,2984.5126953125,2999.0189392053258,2864.8824139058183,2896.64924328572,6931542
2021-01-15,2968.584228515625,3005.9054759350824,2947.1461752448427,2970.0990270769676,4131692
2021-01-18,2957.93310546875,2990.067088146303,2926.3958070956587,2983.869820058489,4160906
2021-01-19,2993.69384765625,3010.495376287818,2967.344024447157,2968.262138316107,2975735
2021-01-20,3037.85546875,3055.437261152836,2999.570162039202,3002.232602822507,3453446
2021-01-21,3005.766845703125,3038.1760823585973,2994.979008941052,3034.3659998851576,2778546
2021-01-22,3032.62255859375,3052.7291663001834,2976.4338003339794,2976.4338003339794,3052459
2021-01-25,3021.7880859375,3066.316606580931,3010.17381152777,3037.9927053368447,2272887
2021-01-27,2994.014892578125,3035.6971672146724,2962.753074526282,3029.775378350397,2786662
2021-01-28,2934.796875,3006.822861775188,2923.0909234007227,2965.5077384836204,3083938
2021-01-29,2856.5732421875,2953.4342406581636,2846.1525616972262,2947.1910224672497,5445659
2021-02-01,2882.28076171875,2905.830291960869,2794.8304188090274,2846.1528925999037,3985846
2021-02-02,2941.131591796875,2959.9988751141177,2892.058454283335,2914.093185363589,2881837
2021-02-03,2938.010009765625,2971.016154913959,2903.672420333849,2949.899538238118,2505866
2021-02-04,2927.360107421875,2972.715066832797,2915.929634634776,2952.7001397501726,2057261
2021-02-05,2899.357421875,2943.335207262902,2872.778072268162,2937.000087571067,2366135
2021-02-08,2950.909912109375,2961.835377624563,2896.786919550652,2928.3242209961386,2526592
2021-02-09,2916.755859375,2980.0140394082564,2904.912280130108,2933.3738100555292,2658751
2021-02-10,2950.17529296875,2955.7756529908675,2898.7609171259146,2924.1926260612536,2127983
2021-02-11,2943.473388671875,2955.684349306193,2924.238945824592,2951.7364144042663,1165882
2021-02-12,2929.517822265625,2979.738606828393,2921.4383752666604,2923.458180979177,2777404
2021-02-15,2882.73974609375,2946.2272266182595,2875.11935661426,2946.2272266182595,2630853
2021-02-16,2854.232177734375,2908.2630394562693,2846.1527316019883,2892.0584208213754,3435770
2021-02-17,2821.45556640625,2876.312865139,2796.1614867632993,2850.83520756856,3678426
2021-02-18,2806.9951171875,2844.2244498203495,2782.8027306122076,2814.0185976002695,4189909
2021-02-19,2820.30859375,2834.3555586965563,2769.1694643916844,2807.592625130958,3725028
2021-02-22,2716.1943359375,2842.4809622794082,2702.1471468173804,2842.4809622794082,5366696
2021-02-23,2736.1630859375,2780.048976566448,2724.962140835277,2726.7983686929824,3832829
2021-02-24,2706.691162109375,2757.416945411452,2681.9478179035737,2728.6339904755264,3774549
2021-02-25,2750.0263671875,2781.7929708391175,2725.374921485045,2730.4704980108404,4224073
2021-02-26,2657.297119140625,2728.9559542305587,2644.1680454739426,2717.617157848219,5553153
2021-03-01,2684.74853515625,2722.207625900614,2664.182874117604,2686.401184952849,3265871
2021-03-02,2760.171142578125,2777.2938729950683,2706.5991198642846,2717.616483988563,3306469
2021-03-03,2808.6025390625,2813.1012078619806,2751.49567073259,2786.475902696185,3509857
2021-03-04,2799.971435546875,2829.1215468699424,2769.076997772681,2775.457843452997,3916760
2021-03-05,2761.73193359375,2812.3658140029697,2751.219576659471,2769.122793637546,3203686
2021-03-08,2760.722412109375,2784.6393228675074,2750.6691102245472,2769.03138732885,2003125
2021-03-09,2801.119384765625,2815.7632557332377,2747.088519588726,2760.722375669377,1942397
2021-03-10,2819.481689453125,2839.909722663628,2809.428387601779,2823.2000953841407,3053778
